,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
0,1,1,0,1, n ,    ,8071.31713,0.00046,0.0,0.0,B-,782.347,0.0,1,8664.91582,0.00049
1,-1,0,1,1,H  ,    ,7288.97061,9e-05,0.0,0.0,B-,0.0,0.0,1,7825.03224,9e-05
2,0,1,1,2,H  ,    ,13135.72176,0.00011,1112.283,0.0,B-,0.0,0.0,2,14101.77811,0.00012
3,1,2,1,3,H  ,    ,14949.80993,0.00022,2827.265,0.0,B-,18.592,0.0,3,16049.28199,0.00023
4,-1,1,2,3,He ,    ,14931.21793,0.00021,2572.68,0.0,B-,-13.736,2.0,3,16029.32265,0.00022
5,-3,0,3,3,Li , -pp,0.28667,0.02,-2.267,0.667,B-,0.0,0.0,3,0.30775,0.02147
6,2,3,1,4,H  ,  -n,24621.127,100.0,1720.449,25.0,B-,22196.211,100.0,4,26431.868,107.354
7,0,2,2,4,He ,    ,2424.91561,6e-05,7073.915,0.0,B-,-22898.273,212.132,4,2603.25413,6e-05
8,-2,1,3,4,Li ,  -p,25323.189,212.132,1153.76,53.033,B-,0.0,0.0,4,27185.562,227.733
9,3,4,1,5,H  , -nn,32892.444,89.443,1336.359,17.889,B-,21661.211,91.652,5,35311.493,96.02
10,1,3,2,5,He ,  -n,11231.233,20.0,5512.132,4.0,B-,-447.654,53.852,5,12057.224,21.47
11,-1,2,3,5,Li ,  -p,11678.886,50.0,5266.132,10.0,B-,-25.46,2.003,5,12537.8,53.677
12,-3,1,4,5,Be ,   x,0.37139,0.02003,0.018,0.401,B-,0.0,0.0,5,0.3987,0.0215
13,4,5,1,6,H  , -3n,41875.721,254.127,961.639,42.354,B-,24283.626,254.127,6,44955.437,272.816
14,2,4,2,6,He ,    ,17592.095,0.053,4878.519,0.009,B-,3505.216,0.053,6,18885.891,0.057
15,0,3,3,6,Li ,    ,14086.87895,0.00144,5332.331,0.0,B-,-4288.154,5.448,6,15122.88742,0.00155
16,-2,2,4,6,Be ,   -,18375.033,5.448,4487.247,0.908,B-,-28.945,2.003,6,19726.409,5.848
17,-4,1,5,6,B  ,   x,0.4732,0.02003,-0.467,0.334,B-,0.0,0.0,6,0.508,0.0215
18,5,6,1,7,H  , -nn,0.49135,0.01004,0.94,0.143,B-,23.062,1.004,7,0.52749,0.01078
19,3,5,2,7,He ,  -n,26073.126,7.559,4123.057,1.08,B-,11166.021,7.559,7,27990.654,8.115
20,1,4,3,7,Li ,    ,14907.10529,0.00423,5606.439,0.001,B-,-861.893,0.071,7,16003.43666,0.00454
21,-1,3,4,7,Be ,    ,15768.999,0.071,5371.548,0.01,B-,-11907.551,25.15,7,16928.717,0.076
22,-3,2,5,7,B  , p4n,27676.55,25.15,3558.705,3.593,B-,0.0,0.0,7,29712.0,27.0
23,4,6,2,8,He ,    ,31609.681,0.089,3924.52,0.011,B-,10663.878,0.1,8,33934.39,0.095
24,2,5,3,8,Li ,    ,20945.804,0.047,5159.712,0.006,B-,16004.133,0.059,8,22486.246,0.05
25,0,4,4,8,Be ,  -a,4941.671,0.035,7062.435,0.004,B-,-17979.896,1.0,8,5305.102,0.037
26,-2,3,5,8,B  ,    ,22921.567,1.0,4717.155,0.125,B-,-12142.701,18.27,8,24607.316,1.073
27,-4,2,6,8,C  ,    ,35064.268,18.243,3101.524,2.28,B-,0.0,0.0,8,37643.042,19.584
28,5,7,2,9,He ,    ,40935.826,46.816,3349.037,5.202,B-,15980.924,46.817,9,43946.419,50.259
29,3,6,3,9,Li , -3n,24954.902,0.186,5037.768,0.021,B-,13606.449,0.201,9,26790.191,0.2
30,1,5,4,9,Be ,    ,11348.453,0.077,6462.668,0.009,B-,-1068.035,0.899,9,12183.066,0.082
31,-1,4,5,9,B  ,   -,12416.488,0.903,6257.07,0.1,B-,-16494.484,2.319,9,13329.649,0.969
32,-3,3,6,9,C  , -pp,28910.972,2.137,4337.423,0.237,B-,0.0,0.0,9,31037.207,2.293
33,6,8,2,10,He , -nn,49197.143,92.848,2995.134,9.285,B-,16144.519,93.715,10,52815.308,99.676
34,4,7,3,10,Li ,  -n,33052.624,12.721,4531.351,1.272,B-,20445.136,12.722,10,35483.453,13.656
35,2,6,4,10,Be ,    ,12607.488,0.081,6497.63,0.008,B-,556.878,0.082,10,13534.695,0.086
36,0,5,5,10,B  ,    ,12050.609,0.015,6475.083,0.002,B-,-3648.062,0.069,10,12936.862,0.016
37,-2,4,6,10,C  ,    ,15698.672,0.07,6032.042,0.007,B-,-23101.355,400.0,10,16853.218,0.075
38,-4,3,7,10,N  ,  --,38800.026,400.0,3643.672,40.0,B-,0.0,0.0,10,41653.543,429.417
39,5,8,3,11,Li ,   x,40728.254,0.615,4155.381,0.056,B-,20551.087,0.659,11,43723.581,0.66
40,3,7,4,11,Be ,    ,20177.167,0.238,5952.54,0.022,B-,11509.46,0.238,11,21661.081,0.255
41,1,6,5,11,B  ,    ,8667.707,0.012,6927.732,0.001,B-,-1981.689,0.061,11,9305.166,0.013
42,-1,5,6,11,C  ,    ,10649.396,0.06,6676.456,0.005,B-,-13654.163,46.154,11,11432.597,0.064
43,-3,4,7,11,N  ,  -p,24303.559,46.154,5364.046,4.196,B-,0.0,0.0,11,26090.945,49.548
44,6,9,3,12,Li ,  -n,49009.571,30.006,3791.6,2.501,B-,23931.812,30.067,12,52613.941,32.213
45,4,8,4,12,Be ,    ,25077.76,1.909,5720.722,0.159,B-,11708.363,2.321,12,26922.083,2.048
46,2,7,5,12,B  ,    ,13369.397,1.321,6631.223,0.11,B-,13369.397,1.321,12,14352.638,1.418
47,0,6,6,12,C  ,    ,0.0,0.0,7680.144,0.0,B-,-17338.068,1.0,12,0.0,0.0
48,-2,5,7,12,N  ,    ,17338.068,1.0,6170.109,0.083,B-,-14576.544,24.021,12,18613.182,1.073
49,-4,4,8,12,O  , -pp,31914.613,24.0,4890.202,2.0,B-,0.0,0.0,12,34261.747,25.765
50,7,10,3,13,Li , -nn,56980.888,70.003,3507.63,5.385,B-,23321.812,70.739,13,61171.503,75.15
51,5,9,4,13,Be ,  -n,33659.077,10.18,5241.435,0.783,B-,17097.13,10.23,13,36134.507,10.929
52,3,8,5,13,B  , -nn,16561.947,1.0,6496.419,0.077,B-,13436.938,1.0,13,17779.981,1.073
53,1,7,6,13,C  ,    ,3125.00888,0.00021,7469.849,0.0,B-,-2220.472,0.27,13,3354.83521,0.00023
54,-1,6,7,13,N  ,    ,5345.481,0.27,7238.863,0.021,B-,-17769.951,9.53,13,5738.609,0.289
55,-3,5,8,13,O  , +3n,23115.432,9.526,5811.763,0.733,B-,0.0,0.0,13,24815.437,10.226
56,6,10,4,14,Be ,   x,39954.498,132.245,4993.897,9.446,B-,16290.813,133.936,14,42892.92,141.97
57,4,9,5,14,B  ,    ,23663.685,21.213,6101.644,1.515,B-,20643.792,21.213,14,25404.012,22.773
58,2,8,6,14,C  ,    ,3019.89278,0.00376,7520.319,0.0,B-,156.476,0.004,14,3241.98843,0.00403
59,0,7,7,14,N  ,    ,2863.41672,0.00019,7475.614,0.0,B-,-5144.364,0.025,14,3074.00446,0.00021
60,-2,6,8,14,O  ,    ,8007.781,0.025,7052.278,0.002,B-,-23956.622,41.119,14,8596.706,0.027
61,-4,5,9,14,F  ,  -p,31964.402,41.119,5285.208,2.937,B-,0.0,0.0,14,34315.199,44.142
62,7,11,4,15,Be ,  -n,49825.815,165.797,4540.97,11.053,B-,20867.573,167.126,15,53490.215,177.99
63,5,10,5,15,B  ,    ,28958.242,21.032,5879.985,1.402,B-,19085.098,21.047,15,31087.953,22.578
64,3,9,6,15,C  ,  -n,9873.144,0.8,7100.169,0.053,B-,9771.705,0.8,15,10599.256,0.858
65,1,8,7,15,N  ,    ,101.43871,0.0006,7699.46,0.0,B-,-2754.166,0.491,15,108.89894,0.00065
66,-1,7,8,15,O  ,    ,2855.605,0.491,7463.692,0.033,B-,-13711.146,14.009,15,3065.618,0.526
67,-3,6,9,15,F  ,  -p,16566.751,14.0,6497.459,0.933,B-,-23648.622,68.138,15,17785.139,15.029
68,-5,5,10,15,Ne , -pp,40215.373,66.684,4868.728,4.446,B-,0.0,0.0,15,43172.98,71.588
69,8,12,4,16,Be , -nn,57447.132,165.797,4285.285,10.362,B-,20334.623,167.608,16,61672.036,177.99
70,6,11,5,16,B  ,    ,37112.51,24.569,5507.302,1.536,B-,23418.378,24.828,16,39841.92,26.375
71,4,10,6,16,C  , -nn,13694.132,3.578,6922.054,0.224,B-,8010.225,4.254,16,14701.256,3.84
72,2,9,7,16,N  ,  -n,5683.907,2.301,7373.796,0.144,B-,10420.908,2.301,16,6101.925,2.47
73,0,8,8,16,O  ,    ,-4737.00135,0.00016,7976.206,0.0,B-,-15417.254,8.321,15,994914.6196,0.00017
74,-2,7,9,16,F  ,   -,10680.253,8.321,6963.731,0.52,B-,-13306.523,22.106,16,11465.723,8.932
75,-4,6,10,16,Ne ,  --,23986.776,20.48,6083.177,1.28,B-,0.0,0.0,16,25750.864,21.986
76,7,12,5,17,B  ,   x,43716.317,204.104,5269.667,12.006,B-,22684.419,204.841,17,46931.399,219.114
77,5,11,6,17,C  ,2p-n,21031.898,17.365,6558.024,1.021,B-,13161.82,22.946,17,22578.672,18.641
78,3,10,7,17,N  ,  +p,7870.079,15.0,7286.229,0.882,B-,8678.842,15.0,17,8448.877,16.103
79,1,9,8,17,O  ,    ,-808.76348,0.00066,7750.728,0.0,B-,-2760.465,0.248,16,999131.75664,0.0007
80,-1,8,9,17,F  ,    ,1951.702,0.248,7542.328,0.015,B-,-14548.746,0.432,17,2095.238,0.266
81,-3,7,10,17,Ne ,    ,16500.447,0.354,6640.499,0.021,B-,-18672.766,1001.356,17,17713.959,0.38
82,-5,6,11,17,Na ,   x,35173.214,1001.356,5496.08,58.903,B-,0.0,0.0,17,37760.0,1075.0
83,8,13,5,18,B  ,  -n,51792.634,204.165,4976.63,11.342,B-,26873.37,206.357,18,55601.682,219.18
84,6,12,6,18,C  ,  ++,24919.264,30.0,6426.131,1.667,B-,11806.096,35.282,18,26751.932,32.206
85,4,11,7,18,N  ,   +,13113.168,18.57,7038.562,1.032,B-,13895.984,18.57,18,14077.565,19.935
86,2,10,8,18,O  ,    ,-782.8156,0.00071,7767.097,0.0,B-,-1655.929,0.463,17,999159.61284,0.00076
87,0,9,9,18,F  ,    ,873.113,0.463,7631.638,0.026,B-,-4444.501,0.589,18,937.325,0.497
88,-2,8,10,18,Ne ,    ,5317.614,0.363,7341.257,0.02,B-,-19720.374,93.882,18,5708.693,0.39
89,-4,7,11,18,Na ,    ,25037.988,93.881,6202.217,5.216,B-,0.0,0.0,18,26879.386,100.785
90,9,14,5,19,B  ,   x,59770.244,525.363,4719.634,27.651,B-,27356.492,534.496,19,64166.0,564.0
91,7,13,6,19,C  ,  -n,32413.752,98.389,6118.273,5.178,B-,16557.471,99.748,19,34797.596,105.625
92,5,12,7,19,N  ,p-2n,15856.282,16.404,6948.543,0.863,B-,12523.424,16.614,19,17022.419,17.61
93,3,11,8,19,O  ,  -n,3332.858,2.637,7566.495,0.139,B-,4820.302,2.637,19,3577.97,2.83
94,1,10,9,19,F  ,    ,-1487.4442,0.00086,7779.018,0.0,B-,-3239.494,0.16,18,998403.16288,0.00093
95,-1,9,10,19,Ne , +3n,1752.05,0.16,7567.343,0.008,B-,-11177.34,10.536,19,1880.903,0.171
96,-3,8,11,19,Na ,    ,12929.39,10.535,6937.885,0.554,B-,-18898.998,51.099,19,13880.272,11.309
97,-5,7,12,19,Mg , -pp,31828.389,50.001,5902.025,2.632,B-,0.0,0.0,19,34169.182,53.678
98,10,15,5,20,B  ,   x,0.6845,0.008,4.453,0.04,B-,30.946,0.833,20,0.73484,0.00859
99,8,14,6,20,C  ,   x,37503.563,230.625,5961.435,11.531,B-,15737.067,243.746,20,40261.732,247.585
