Product;Yield;Error
H1;1.711E-5;2.9483E-6
H2;8.4E-6;2.4389E-6
H3;1.08E-4;5.8635E-6
He3;0.0;0.0
He4;0.0017;8.1347E-5
He6;2.668E-5;4.8784E-6
Li6;0.0;0.0
Li8;7.292E-7;2.368E-7
Li9;4.071E-7;1.0491E-7
Be8;7.292E-7;1.6507E-7
Be9;4.071E-7;1.6535E-7
Be10;5.201E-6;9.0853E-7
Be12;1.261E-7;4.4982E-8
B9;4.071E-7;1.1018E-7
B10;5.201E-6;8.9948E-7
B12;1.261E-7;5.5747E-8
C12;0.0;0.0
C14;1.578E-6;1.6342E-6
C15;2.528E-7;2.5523E-7
N15;0.0;0.0
Ne21;2.146E-6;2.2368E-6
Ti56;1.0104E-12;1.041E-12
V56;1.3121E-12;1.3385E-12
V57;4.1709E-12;4.1979E-12
V58;3.4908E-12;3.6424E-12
V59;5.7807E-12;6.0389E-12
V60;1.4853E-12;1.5858E-12
Cr56;0.0;0.0
Cr57;1.0236E-12;1.0809E-12
Cr58;7.882E-12;7.968E-12
Cr59;1.476E-11;1.496E-11
Cr60;3.7993E-11;3.8325E-11
Cr61;2.5325E-11;2.6636E-11
Cr62;3.3905E-11;3.5652E-11
Cr63;7.3683E-12;7.8462E-12
Cr64;2.4833E-12;2.666E-12
Mn56;0.0;0.0
Mn57;0.0;0.0
Mn58;0.0;0.0
Mn59;4.6296E-12;4.8545E-12
Mn60;1.377E-12;1.4437E-12
Mn61;8.32E-11;8.3835E-11
Mn62;1.0969E-10;1.1161E-10
Mn63;2.9357E-10;2.9866E-10
Mn64;1.3724E-10;1.4593E-10
Mn65;1.4878E-10;1.5758E-10
Mn66;2.7372E-11;2.9111E-11
Mn67;7.1178E-12;7.628E-12
Fe56;0.0;0.0
Fe57;0.0;0.0
Fe58;0.0;0.0
Fe59;0.0;0.0
Fe60;0.0;0.0
Fe61;5.2697E-12;5.621E-12
Fe62;8.0244E-11;8.3065E-11
Fe63;2.038E-10;2.1042E-10
Fe64;8.8386E-10;8.8805E-10
Fe65;1.1534E-9;1.1793E-9
Fe66;2.3106E-9;2.3671E-9
Fe67;8.6294E-10;9.1901E-10
Fe68;6.6088E-10;7.0272E-10
Fe69;1.0385E-10;1.1024E-10
Fe70;1.993E-11;2.125E-11
Co59;0.0;0.0
Co61;0.0;0.0
Co62;0.0;0.0
Co63;1.5633E-11;1.6626E-11
Co64;8.4623E-11;9.0321E-11
Co65;1.0463E-9;1.0739E-9
Co66;2.3309E-9;2.3872E-9
Co67;8.2736E-9;8.3154E-9
Co68;4.2208E-9;4.3733E-9
Co69;1.4144E-8;1.4667E-8
Co70;2.009E-9;2.1357E-9
Co71;2.3729E-9;2.5103E-9
Co72;3.0293E-10;3.157E-10
Co73;4.6362E-11;1.9097E-11
Co74;2.402E-12;9.772E-13
Ni61;0.0;0.0
Ni62;0.0;0.0
Ni63;0.0;0.0
Ni64;0.0;0.0
Ni65;1.5299E-11;1.6277E-11
Ni66;3.6946E-10;3.908E-10
Ni67;1.572E-9;1.6653E-9
Ni68;1.3978E-8;1.416E-8
Ni69;1.395E-8;1.4122E-8
Ni70;7.7917E-8;7.8073E-8
Ni71;6.0176E-8;6.2349E-8
Ni72;9.0226E-8;9.2617E-8
Ni73;2.0968E-8;8.5417E-9
Ni74;1.4131E-8;5.736E-9
Ni75;1.0069E-9;3.7796E-10
Ni76;5.1404E-10;1.9509E-10
Ni77;1.2128E-11;4.2608E-12
Cu63;0.0;0.0
Cu65;0.0;0.0
Cu66;0.0;0.0
Cu67;2.6349E-11;2.8234E-11
Cu68;9.6836E-11;1.0309E-10
Cu69;6.7139E-9;7.0499E-9
Cu70;1.6519E-9;1.7325E-9
Cu71;1.5372E-7;1.5371E-7
Cu72;2.6393E-7;2.6279E-7
Cu73;6.2762E-7;1.51E-7
Cu74;6.4003E-7;2.3255E-7
Cu75;4.9749E-7;1.7943E-7
Cu76;1.9691E-7;7.432E-8
Cu77;1.1284E-7;3.9598E-8
Cu78;8.736E-9;2.9324E-9
Cu79;1.0631E-9;3.5382E-10
Cu80;3.3921E-11;1.0557E-11
Zn66;0.0;0.0
Zn67;0.0;0.0
Zn68;0.0;0.0
Zn69;3.8377E-12;4.0743E-12
Zn70;7.8558E-10;8.3717E-10
Zn71;1.3876E-9;1.4654E-9
Zn72;1.2653E-7;1.2909E-7
Zn73;3.3574E-8;1.1097E-8
Zn74;2.5591E-6;4.5668E-7
Zn75;5.2354E-6;8.767E-7
Zn76;2.8681E-5;5.6507E-6
Zn77;1.5594E-5;4.4681E-6
Zn78;3.3796E-5;9.3408E-6
Zn79;6.975E-6;2.253E-6
Zn80;2.2625E-6;6.9814E-7
Zn81;2.091E-8;6.8915E-9
Zn82;1.2083E-9;4.1677E-10
Ga69;0.0;0.0
Ga71;2.4756E-11;2.6211E-11
Ga72;5.6971E-10;5.937E-10
Ga73;1.9539E-8;7.9657E-9
Ga74;1.0518E-7;4.1351E-8
Ga75;2.0646E-6;6.4106E-7
Ga76;1.1273E-5;3.6E-6
Ga77;3.4403E-5;7.748E-6
Ga78;6.3249E-5;1.4821E-5
Ga79;1.0958E-4;2.4013E-5
Ga80;1.2845E-4;2.6337E-5
Ga81;4.3397E-5;1.2437E-5
Ga82;1.5705E-5;5.1222E-6
Ga83;4.8588E-7;1.9277E-7
Ga84;1.4445E-8;6.5125E-9
Ga85;4.7349E-10;1.8567E-10
Ge72;0.0;0.0
Ge73;9.3322E-12;3.8442E-12
Ge74;1.5715E-9;6.3916E-10
Ge75;6.9153E-8;2.495E-8
Ge76;7.3046E-6;2.5578E-6
Ge77;2.7857E-5;6.8662E-6
Ge78;1.0549E-4;1.825E-5
Ge79;4.3938E-5;5.4236E-6
Ge79m;2.8742E-4;3.5478E-5
Ge80;8.8028E-4;8.8024E-5
Ge81;8.4509E-4;1.3997E-4
Ge81m;1.9541E-4;3.2364E-5
Ge82;7.6342E-4;2.2939E-4
Ge83;3.2541E-4;1.491E-4
Ge84;1.1412E-4;5.563E-5
Ge85;3.2158E-5;1.2829E-5
Ge86;8.665E-6;3.0051E-6
Ge87;7.6601E-9;2.7375E-9
As75;3.3231E-12;1.2475E-12
As75m;1.0872E-11;4.0813E-12
As76;2.3177E-9;8.7962E-10
As77;1.334E-7;4.6829E-8
As78;2.0733E-6;6.9308E-7
As79;2.2153E-5;7.2449E-6
As80;2.2488E-4;6.2906E-5
As81;6.8459E-4;1.5483E-4
As82;3.5971E-4;6.6695E-5
As82m;0.0010855;2.0127E-4
As83;0.0017613;4.7103E-4
As84;5.263E-4;2.4516E-4
As84m;5.263E-4;2.4516E-4
As85;8.3538E-4;3.533E-4
As86;3.8187E-4;1.381E-4
As87;1.3912E-4;5.0853E-5
As88;1.567E-5;6.0665E-6
As89;2.0663E-6;8.0664E-7
As90;2.5179E-9;9.6213E-10
Se76;0.0;0.0
Se77;1.8762E-12;6.5914E-13
Se77m;1.2273E-11;4.3118E-12
Se78;2.982E-9;1.001E-9
Se79;1.4854E-6;4.9365E-7
Se79m;2.2708E-7;7.5465E-8
Se80;1.8041E-5;5.5617E-6
Se81;2.1809E-5;6.5339E-6
Se81m;1.4266E-4;4.2741E-5
Se82;0.0010024;2.2307E-4
Se83;0.0027263;3.9705E-4
Se83m;6.3039E-4;9.1808E-5
Se84;0.0083885;5.9479E-4
Se85;0.0097447;9.4316E-4
Se86;0.00987;0.0016452
Se87;0.0054464;0.0017074
Se88;0.0027005;0.0011068
Se89;7.835E-4;3.1501E-4
Se90;2.1813E-4;8.4113E-5
Se91;1.7631E-5;6.2171E-6
Se92;2.022E-6;7.0354E-7
Br79;4.7859E-12;1.5929E-12
Br79m;1.5658E-11;5.2115E-12
Br80;3.6305E-10;1.1298E-10
Br80m;1.0956E-9;3.4095E-10
Br81;1.2978E-7;4.2772E-8
Br82;1.907E-6;6.569E-7
Br82m;8.1415E-7;2.8046E-7
Br83;7.1707E-5;2.7881E-5
Br84;1.8606E-4;7.89E-5
Br84m;1.8606E-4;7.89E-5
Br85;0.0024918;7.625E-4
Br86;0.0071381;0.0015026
Br87;0.012767;0.00216
Br88;0.011024;0.0028594
Br89;0.0096596;0.0030997
Br90;0.0046522;0.0017516
Br91;0.002013;7.1239E-4
Br92;3.0262E-4;1.0547E-4
Br93;6.2514E-5;2.2516E-5
