;Product;Yield;Error;Z;N
0;H1;1.711e-05;2.9483e-06;1;0
1;H2;8.400000000000001e-06;2.4389e-06;1;1
2;H3;0.00010800000000000001;5.8635e-06;1;2
3;He3;0.0;0.0;2;1
4;He4;0.0017;8.134699999999999e-05;2;2
5;He6;2.668e-05;4.8784e-06;2;4
6;Li6;0.0;0.0;3;3
7;Li8;7.292e-07;2.368e-07;3;5
8;Li9;4.071e-07;1.0490999999999999e-07;3;6
9;Be8;7.292e-07;1.6507e-07;4;4
10;Be9;4.071e-07;1.6535e-07;4;5
11;Be10;5.201e-06;9.085299999999999e-07;4;6
12;Be12;1.261e-07;4.4982e-08;4;8
13;B9;4.071e-07;1.1017999999999998e-07;5;4
14;B10;5.201e-06;8.994799999999999e-07;5;5
15;B12;1.261e-07;5.5747e-08;5;7
16;C12;0.0;0.0;6;6
17;C14;1.5780000000000002e-06;1.6342e-06;6;8
18;C15;2.528e-07;2.5523000000000004e-07;6;9
19;N15;0.0;0.0;7;8
20;Ne21;2.146e-06;2.2368e-06;10;11
21;Ti56;1.0104e-12;1.041e-12;22;34
22;V56;1.3121e-12;1.3385e-12;23;33
23;V57;4.1709e-12;4.1979e-12;23;34
24;V58;3.4908e-12;3.6424e-12;23;35
25;V59;5.7807e-12;6.0389e-12;23;36
26;V60;1.4853e-12;1.5858e-12;23;37
27;Cr56;0.0;0.0;24;32
28;Cr57;1.0236e-12;1.0809e-12;24;33
29;Cr58;7.882e-12;7.968e-12;24;34
30;Cr59;1.476e-11;1.4960000000000002e-11;24;35
31;Cr60;3.7993e-11;3.832500000000001e-11;24;36
32;Cr61;2.5325e-11;2.6636e-11;24;37
33;Cr62;3.3905000000000005e-11;3.5652e-11;24;38
34;Cr63;7.3683e-12;7.8462e-12;24;39
35;Cr64;2.4833e-12;2.666e-12;24;40
36;Mn56;0.0;0.0;25;31
37;Mn57;0.0;0.0;25;32
38;Mn58;0.0;0.0;25;33
39;Mn59;4.6296e-12;4.8545e-12;25;34
40;Mn60;1.3769999999999999e-12;1.4437e-12;25;35
41;Mn61;8.320000000000001e-11;8.383499999999999e-11;25;36
42;Mn62;1.0969e-10;1.1161e-10;25;37
43;Mn63;2.9357e-10;2.9866000000000003e-10;25;38
